Timestamp,Acceleration_X,Acceleration_Y,Acceleration_Z,Rate_X,Rate_Y,Rate_Z,Mag_X,Mag_Y,Mag_Z,Latitude,Longitude,Altitude,Speed,Date,Time
429,3360,-3648,16444,-1021,-536,-294,0,0,0,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
557,5264,-6104,16100,4036,-2360,-4302,-1438,-82,-1080,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
683,2084,-3404,17260,-11171,3814,1336,-1386,-75,-1126,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
810,5332,-3556,18560,-893,-4036,-6132,-1313,-45,-1195,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
943,2556,-2808,11036,-2711,1510,-2875,-1146,-40,-1253,-1.000000,-1.000000,-1.00,-1.00,-1/-1/-1,-1:-1:-1.-1
1075,8588,-640,15280,3740,-1814,-6173,-1237,-132,-1425,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1203,4104,-2612,15472,-6916,4013,9187,-1256,-67,-1602,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1329,72,-4036,14748,3661,1282,-3117,-1188,-47,-1698,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1456,2808,-24,14876,8649,10548,-3666,-1705,-320,-2193,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1589,-596,-644,12796,-5508,7020,3586,-2686,-387,-2632,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1716,12,-1556,18396,-3623,4771,3562,-2891,-367,-2688,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1847,-228,-3192,16328,-839,-717,-1304,-2962,-260,-2618,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
1975,-64,-2280,16172,-2863,-1882,-546,-3090,-47,-2811,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2102,-4968,-2864,15412,-898,8257,-7664,-3141,-160,-3078,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2235,2792,-2556,15720,626,-9185,287,-3446,-560,-3357,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2361,2324,-3528,17724,835,-3686,-9,-3620,-237,-3480,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2488,2464,-3288,16956,152,-158,142,-3641,-240,-3475,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2619,2816,-3052,16192,56,-290,183,-3648,-265,-3488,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2746,3524,-3296,17712,246,2266,-33,-3622,-300,-3472,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
2878,2820,-3384,14924,-104,2159,-39,-3600,-297,-3470,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3006,2760,-3188,16164,147,-393,226,-3617,-327,-3470,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3133,3428,-3000,15980,545,7287,2229,-3617,-512,-3336,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3261,1356,-2968,16204,2397,1738,3264,-3561,585,-2686,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3391,824,-1776,16376,3449,392,347,-3955,1147,-2266,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3523,76,-3096,16376,-326,-18,459,-4166,1305,-2123,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3650,1340,-1156,16840,132,-110,178,-4271,1452,-2013,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3777,964,-1088,16460,1144,480,-144,-4390,1602,-1912,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
3904,1340,-528,14684,1123,1574,-627,-4653,1672,-1870,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4032,44,-912,16840,178,-767,-156,-4850,1600,-1880,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4168,-244,-992,16512,-1,1166,-895,-4901,1485,-1952,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4294,-596,-1068,17044,149,1331,-723,-5002,1192,-2175,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4421,8,-768,15572,-639,1169,-647,-5120,907,-2367,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4548,-68,-268,14840,2953,-1814,476,-5105,840,-2290,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4675,-668,-128,15852,49,-103,161,-5308,1040,-2126,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4807,-436,-308,16200,242,334,177,-5265,1032,-2113,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
4938,-784,-380,16192,-134,303,-162,-5283,1015,-2123,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5066,-812,-260,16568,-59,260,133,-5311,972,-2156,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5193,-460,-532,16652,-102,-826,558,-5316,1000,-2102,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5319,108,-116,15916,238,-800,445,-5331,1222,-1848,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5451,312,100,16332,56,35,241,-5296,1265,-1795,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5578,312,36,16224,50,10,221,-5288,1270,-1792,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5709,356,56,16576,48,72,205,-5267,1282,-1778,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5836,324,60,16204,38,-23,196,-5267,1287,-1773,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
5963,612,-48,16824,133,56,173,-5270,1287,-1765,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6096,188,76,15900,69,88,179,-5255,1285,-1776,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6223,240,100,16276,60,37,178,-5273,1290,-1746,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6349,184,-52,16488,-254,196,200,-5270,1285,-1765,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6480,-836,136,17588,-73,-794,173,-5250,1287,-1760,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6607,432,140,16256,21,62,166,-5252,1297,-1762,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6734,348,196,16328,68,47,178,-5252,1305,-1762,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6866,344,52,16284,22,49,175,-5250,1310,-1760,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
6994,248,68,16360,55,37,162,-5237,1300,-1757,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
7121,264,-24,16364,33,56,169,-5237,1317,-1765,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
7252,260,88,16356,45,33,168,-5237,1307,-1762,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
7378,280,16,16392,45,62,176,-5235,1307,-1752,-1.000000,-1.000000,-1.00,-1.00,0/0/2000,1:0:0.0
